Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude
5P HORTIPLEX,"19, 2nd St, Balamurugan Nagar, Anna Nagar Extension, Velachery, Chennai, Tamil Nadu 600042, India",Tamil Nadu,600042,20000,0,0,0,0,0,0,0,0,Chennai City Corporation,Chennai,12.978761057943926,80.19780987663552
A.A.NUTS,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",Kerala,686012,1346288,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667
A.K. AHAMED MODERAN RICE MILL,"P.O, 40/2, Mannarpalayam Main Rd, Allikuttai, Salem, Tamil Nadu 636017, India",Tamil Nadu,636017,214500,48600,0,24000,24000,144685,194590,452294,1653150,Allikuttai,Salem,11.6719252,78.1929386
A.K.R. TEXTILES,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,441797,361413,679656,568203,197687,14754,0,2841,0,Tiruppur,Coimbatore,11.1398791,77.31429145
A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",Kerala,688005,1374800,1961480,2034720,3308895,2385049,1697278,2512818,3724210,3315054,Ambalappuzha,Alappuzha,9.40768399,76.351707025
A.M.S. TRADING COMPANY,"AMS COMPLEX, VK KADAVU, Road, Nhangattiri, Pattambi, Kerala 679311, India",Kerala,679311,202834,156121,121570,26830,0,14705,0,0,0,Nhangattiri,Pattambi,10.7996557,76.0688529
A.N.P.APPARELS,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",Tamil Nadu,641687,2721,3569,4421,0,0,0,63746,124261,37999,Tiruppur,Coimbatore,11.0980518625,77.309765225
A.P. GLOBAL MARKETING,"1/126-E, near Pollachi, Devanurpudur, Tamil Nadu 642207, India",Tamil Nadu,642207,56000,0,55900,0,27000,0,0,0,0,Udaamalpet,Coimbatore,10.544403,77.09328762727273
A.P.ENGINEERS,"Ho, Sipcot Industrial Growth Centre, Plot No-C2, near Water Tank, Perundurai, Tamil Nadu 638052, India",Tamil Nadu,638052,139924,17140,12617,197771,293091,36020,118131,18940,451180,Erode,Erode,11.28118388372093,77.58956259534884
A.S.K. APPARELS,"11/1, Periyar Nagar, West, Karur, Tamil Nadu 639002, India",Tamil Nadu,639002,196727,157566,87995,127016,210735,38212,0,0,0,Aravakurichi,Karur,10.96040589130435,78.06453304347826
A.S.M.KNITS,"5, Singaravelu St, T. Nagar, Chennai, Tamil Nadu 600017, India",Tamil Nadu,600017,854,5274,0,0,0,0,0,337,4701,Chennai,Chennai,13.042568160810811,80.23459210743243
AARGEE ASSOCIATES,"MINI INDUSTRIAL ESTATE, PLOT NO .5, near POLICE STATION, Manarcadu, Kerala 686019, India",Kerala,686019,793,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.592533289090909,76.58230555090908
AASHA BIOCHEM,"Chorode Panchayath, Chorode, Vatakara, Kerala 673104, India",Kerala,673104,11002,17868,19680,15760,7350,0,4357,252,0,Vadakara,Kozhikode,11.604201301538462,75.60635570307693
AAZRA MARINE INDUSTRIES,"Bharath Sea Foods Complex, Chandiroor, Alleppey, Kerala 688547, India",Kerala,688547,359290,154585,164533,374660,48000,0,0,0,0,Chandiroor,Alappuzha,9.765011083333333,76.36738138333334
ABAD FISHERIES,"Kochangadi, Chullickal, Kochi, Kerala 682002, India",Kerala,682002,5109702,5314820,5244604,6075897,6054924,3769618,4065985,4882866,5722081,Kochi,Ernakulam,9.957255232894736,76.25402236842105
ABIRAMI EXPORTS,"Shop No.424, Thadagam Main Rd, Near Milk Society Bus Stop, Near Milk Company, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",Tamil Nadu,641002,393,341,0,0,7200,0,0,0,0,Coimbatore South,Coimbatore,11.010469648529412,76.95122688088236
ABISHEK EXPORTS,"No.9/76F, South Neervakuzhi, Kanyakumari, Palappallam, Tamil Nadu 629159, India",Tamil Nadu,629159,566035,382409,0,151590,249640,427361,95800,29100,28500,Kalkulam,Kanyakumari,8.1852759,77.2497986
ABM MARINE PRODUCTS,"19/2084-E, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,461980,352496,549490,1256905,1789051,1459668,2476123,2617996,2059244,Kochi,Ernakulam,9.917652551851852,76.27326455925926
ACCELERATED FREEZE DRYING CO LTD.,"Accelerated Freeze Drying Co. Ltd. (AFDC, R7CX+HQ6 P.O, Eramallur Ezhupunna Rd, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,237764,397922,497486,1190201,1061663,655166,892804,1604885,1791322,Cherthala,Alappuzha,9.82172572,76.30522974
ACTIVE CHAR PRODUCTS P.LTD.,"Binanipuram, Edayar, Kochi, Kerala 683502, India",Kerala,683502,2458952,2065846,1618043,1164078,2760015,3556055,3526565,4538145,4504002,Paravur,Ernakulam,10.087692555555556,76.30506273333334
ADIL TEXTILES PVT LTD,"Mangalam, Tamil Nadu 641663, India",Tamil Nadu,641663,536432,208759,670153,113005,99740,101161,722293,254500,1062411,Palladam,Coimbatore,11.097379925,77.26562055
