,Exporter Name,Address,pincode,Taluk,Districtname,statename
0,5P HORTIPLEX,"19, 2nd St, Balamurugan Nagar, Anna Nagar Extension, Velachery, Chennai, Tamil Nadu 600042, India",600042,Chennai City Corporation,Chennai,TAMIL NADU
1,A.A.NUTS,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA
2,A.A.NUTS,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA
3,A.A.NUTS,"WJMW+7F7, Chandanathope, Mamoodu, Kerala 14, India",686012,Kottayam,Kottayam,KERALA
4,A.K.R. TEXTILES,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU
5,A.K.R. TEXTILES,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU
6,A.K.R. TEXTILES,"48W5+XQ9, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",641652,Tiruppur,Coimbatore,TAMIL NADU
7,A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA
8,A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA
9,A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA
10,A.M.FISHERIES,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Kerala 688005, India",688005,Kuttanad,Alappuzha,KERALA
11,A.N.P.APPARELS,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",641687,Tiruppur,Coimbatore,TAMIL NADU
12,A.N.P.APPARELS,"48F6+985, MGR Nagar, Sirupooluvapatti, Tiruppur, Tamil Nadu 641687, India",641687,Tiruppur,Coimbatore,TAMIL NADU
