Sail Date.,QTY.(KGS)
2018-01-01,337485
2018-01-04,697207
2018-01-05,1464201
2018-01-06,1841074
2018-01-07,1830587
2018-01-08,1159316
2018-01-09,630753
2018-01-10,1557073
2018-01-12,263069
2018-01-14,508842
2018-01-15,2354455
2018-01-17,1354446
2018-01-18,629733
2018-01-19,1577791
2018-01-20,142694
2018-01-22,2527535
2018-01-26,1104338
2018-01-27,954906
2018-01-28,1015526
2018-01-29,942716
2018-01-30,784595
2018-02-01,789490
2018-02-02,1425029
2018-02-03,1496304
2018-02-04,1411179
2018-02-06,329730
2018-02-07,688557
2018-02-10,1088732
2018-02-11,601293
2018-02-12,460360
2018-02-13,2398350
2018-02-16,1093939
2018-02-17,740732
2018-02-18,523076
2018-02-19,1489902
2018-02-22,101205
2018-02-23,1099768
2018-02-24,2467016
2018-02-25,168321
2018-02-26,462624
2018-02-28,2634970
2018-03-01,1568864
2018-03-02,325350
2018-03-04,851189
2018-03-07,2081765
2018-03-09,1305558
2018-03-10,163942
2018-03-11,115145
2018-03-12,510561
2018-03-13,2196313
2018-03-16,1602161
2018-03-19,1687425
2018-03-20,1655416
2018-03-21,528260
2018-03-22,162628
2018-03-23,1619254
2018-03-24,1005079
2018-03-25,598436
2018-03-26,158036
2018-03-27,2837339
2018-03-28,253320
2018-03-30,2553776
2018-03-31,236370
2018-04-02,711520
2018-04-03,349977
2018-04-05,1281033
2018-04-06,1330727
2018-04-07,189976
2018-04-08,276556
2018-04-09,86779
2018-04-10,45650
2018-04-11,1491767
2018-04-12,2331420
2018-04-13,1339065
2018-04-15,231700
2018-04-16,1426416
2018-04-17,827492
2018-04-18,204610
2018-04-19,37276
2018-04-20,1849481
2018-04-22,683531
2018-04-23,1677626
2018-04-24,879540
2018-04-25,18000
2018-04-27,425729
2018-04-28,353346
2018-04-29,1492435
2018-04-30,1794152
2018-05-01,986364
2018-05-03,893405
2018-05-05,101725
2018-05-06,1165063
2018-05-08,446726
2018-05-09,1226065
2018-05-10,556401
2018-05-11,1679491
2018-05-12,344526
2018-05-14,1635511
2018-05-15,1457846
2018-05-18,618354
2018-05-19,1724855
2018-05-20,32977
2018-05-21,1152978
2018-05-22,1569985
2018-05-23,224529
2018-05-26,2481189
2018-05-27,2591526
2018-05-30,1286324
2018-05-31,421774
2018-06-01,703570
2018-06-02,2787360
2018-06-03,2401072
2018-06-04,1627907
2018-06-06,534235
2018-06-07,1360307
2018-06-08,3598011
2018-06-10,806997
2018-06-11,1590813
2018-06-12,4835
2018-06-13,825046
2018-06-15,1280016
2018-06-16,154873
2018-06-18,376422
2018-06-19,2258137
2018-06-20,206230
2018-06-22,1587242
2018-06-23,138000
2018-06-24,672380
2018-06-25,580927
2018-06-26,1522914
2018-06-27,354151
2018-06-28,729882
2018-06-30,491886
2018-07-02,343929
2018-07-03,721862
2018-07-04,635614
2018-07-05,1849462
2018-07-06,410929
2018-07-08,2271569
2018-07-09,1466534
2018-07-10,853516
2018-07-11,265174
2018-07-12,2101044
2018-07-14,890793
2018-07-15,1384564
2018-07-16,271203
2018-07-17,2128496
2018-07-20,2087643
2018-07-21,300786
2018-07-23,794480
2018-07-24,1065470
2018-07-25,1427245
2018-07-27,15000
2018-07-29,1595899
2018-07-30,181298
2018-07-31,1842774
2018-08-01,1504137
2018-08-02,494192
2018-08-05,1512319
2018-08-06,50991
2018-08-07,1141053
2018-08-08,249906
2018-08-09,203621
2018-08-10,183259
2018-08-13,250651
2018-08-14,2809531
2018-08-15,182762
2018-08-17,1490020
2018-08-19,545365
2018-08-20,229054
2018-08-21,144986
2018-08-22,105200
2018-08-23,11532
2018-08-25,836328
2018-08-26,78000
2018-08-27,983630
2018-08-28,787922
2018-08-29,113473
2018-08-31,1581838
2018-09-01,835290
2018-09-02,1452479
2018-09-03,1127602
2018-09-04,277265
2018-09-05,283414
2018-09-06,1353565
2018-09-07,840629
2018-09-08,108200
2018-09-09,400244
2018-09-10,1917313
2018-09-11,1617895
2018-09-12,654462
2018-09-13,15000
2018-09-14,1007291
2018-09-15,572486
2018-09-16,505107
2018-09-17,1545056
2018-09-18,1697822
2018-09-19,563507
2018-09-21,477958
2018-09-22,316352
2018-09-24,870680
2018-09-25,3198049
2018-09-28,936500
2018-09-29,2420666
2018-09-30,38000
2018-10-01,1378525
2018-10-03,448986
2018-10-04,2719554
2018-10-07,1799338
2018-10-08,92929
2018-10-09,754418
2018-10-10,406531
2018-10-12,1545985
2018-10-14,959612
2018-10-16,2902543
2018-10-18,372810
2018-10-19,467978
2018-10-21,727386
2018-10-22,1231810
2018-10-23,1882107
2018-10-26,630233
2018-10-27,1489303
2018-10-29,2345779
2018-10-30,1590006
2018-11-03,597719
