Month_Day,2023,2024,2025,2026,2027
01-01,337485.0000000006,686993.0,1284272.0000000002,1244317.0,1285111.9999999998
01-02,1030555.9999999999,1920106.0,985410.0,1499299.0000000002,805926.0000000001
01-03,1030555.9999999999,1598395.0,985410.0,1115398.0,1198180.0
01-04,697207.0000000001,1621244.0,110651.9999999993,213312.99999999965,2054214.9999999995
01-05,1464200.9999999995,148151.99999999988,985410.0,1020265.0,1198180.0
01-06,1841073.9999999993,384234.9999999999,59999.9999999993,18987.999999999534,1198180.0
01-07,1830586.9999999993,995967.0,1308975.0000000002,557749.9999999998,1198180.0
01-08,1159315.9999999998,665465.0,985410.0,1599498.0000000002,262227.00000000035
01-09,630753.0000000002,301685.9999999999,1073901.0,1941132.0000000005,782974.0000000001
01-10,1557072.9999999995,1906228.0,985410.0,1001102.0,2744038.999999999
01-11,1030555.9999999999,1969674.0,1564611.0000000005,1001102.0,1662262.9999999998
01-12,263069.0000000006,389310.9999999999,711529.9999999998,135142.99999999965,1467856.9999999998
01-13,1030555.9999999999,995967.0,1772869.0000000005,470993.99999999977,1198180.0
01-14,508842.0000000003,330846.9999999999,645835.9999999998,107925.99999999965,1198180.0
01-15,2354454.999999999,1319344.0,83478.99999999942,564196.9999999998,447559.00000000035
01-16,1030555.9999999999,661690.9999999999,985410.0,824858.9999999999,1483569.9999999998
01-17,1354445.9999999995,86606.99999999988,780434.9999999999,359375.99999999965,262993.00000000035
01-18,629733.0000000002,628160.0,985410.0,1282300.0,157045.00000000035
01-19,1577790.9999999995,1494600.0,603141.9999999998,1001102.0,1128200.0
01-20,142694.00000000047,995967.0,439938.99999999965,963493.0,1198180.0
01-21,1030555.9999999999,1474941.0,1952793.0000000005,158839.99999999953,2101003.9999999995
01-22,2527534.9999999986,1467823.0,192737.99999999953,185521.99999999965,1001912.0
01-23,1030555.9999999999,142513.0,1061872.0,1548146.0000000002,1129780.0
01-24,1030555.9999999999,27318.999999999884,227080.99999999953,413232.99999999977,143641.00000000023
01-25,1030555.9999999999,1222646.0,985410.0,319127.99999999965,1145817.0
01-26,1104337.9999999998,1206472.0,985410.0,1001102.0,1159382.0
01-27,954905.9999999999,995967.0,784543.9999999999,492285.99999999977,185400.00000000023
01-28,1015525.9999999999,825453.0,2632286.000000001,396485.99999999965,1198180.0
01-29,942715.9999999999,1847598.0,945094.0,1962881.0000000005,153826.00000000035
01-30,784595.0,150400.99999999988,87875.99999999942,493015.99999999977,1643479.9999999995
01-31,1030555.9999999999,995967.0,906574.0,1001102.0,1198180.0
02-01,789490.0,1906464.0,985410.0,991597.0,1425001.9999999998
02-02,1425028.9999999995,52270.0,159550.9999999993,54259.999999999534,1741414.9999999995
02-03,1496303.9999999995,995967.0,507430.9999999998,1001102.0,1198180.0
02-04,1411178.9999999995,1249785.0,985410.0,1001102.0,1198180.0
02-05,1030555.9999999999,995967.0,985410.0,158588.99999999953,438234.00000000023
02-06,329730.0000000006,995967.0,2572838.0000000014,2331196.000000001,1198180.0
02-07,688557.0000000001,1476566.0,934975.0,977010.0,1843369.9999999995
02-08,1030555.9999999999,995967.0,985410.0,1101291.0,116126.00000000023
02-09,1030555.9999999999,312547.9999999999,1268497.0000000002,1001102.0,2471657.999999999
02-10,1088731.9999999998,822724.0,1362825.0000000005,1018816.0,478275.00000000035
02-11,601293.0000000002,132418.99999999988,314980.99999999965,1429343.0000000002,1362633.9999999998
02-12,460360.00000000035,692093.0,985410.0,900457.0,726187.0000000001
02-13,2398349.999999999,2191269.0,198296.99999999953,211761.99999999953,155059.00000000035
02-14,1030555.9999999999,303586.9999999999,1049381.0,1001102.0,1198180.0
02-15,1030555.9999999999,995967.0,985410.0,2408771.000000001,1652442.9999999995
02-16,1093938.9999999998,2517677.0,1070399.0,1001102.0,1949753.9999999995
02-17,740732.0000000001,995967.0,1500949.0000000005,522481.99999999977,1013301.0
