Month_Day,2023,2024,2025,2026,2027
01-01,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-02,1024926.73,1579431.62,991322.21,1292704.38,936361.13
01-03,1028154.92,1388255.6,992935.51,1071770.99,1185703.38
01-04,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-05,1342606.82,394721.18,985115.91,980712.03,1202991.96
01-06,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-07,1566904.97,981606.92,1199645.72,648742.72,1190001.14
01-08,1112155.43,781927.62,983582.47,1315602.24,620199.36
01-09,783393.44,546849.67,1038575.09,1544073.61,930403.23
01-10,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-11,1018266.42,1575975.83,1324838.32,934360.92,1458940.69
01-12,561324.78,596230.23,820193.58,429337.88,1361649.01
01-13,1046532.25,978962.86,1500635.0,601069.32,1198612.41
01-14,754587.47,598741.3,792393.2,428838.73,1198930.84
01-15,1881862.49,1197504.55,410641.58,664704.37,722005.86
01-16,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-17,1221327.12,467293.95,874447.29,564601.85,641170.37
01-18,824204.51,793376.95,989082.94,1130692.26,590350.51
01-19,1354010.46,1255519.65,769856.9,931436.55,1155483.42
01-20,533251.35,986569.9,657759.63,937516.49,1197750.4
01-21,1022528.72,1243644.92,1516510.07,484293.02,1683131.06
01-22,1963151.28,1261191.52,500266.27,450470.8,1067498.17
01-23,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-24,1038952.96,287527.63,420743.23,537597.48,412865.9
01-25,1021259.49,1144364.41,995555.76,493268.63,1148214.46
01-26,1045133.13,970332.65,991917.27,858211.75,1189528.14
01-27,987468.0,998062.54,862523.12,597391.62,568640.53
01-28,1027211.17,888007.05,1976301.61,564506.06,1196457.03
01-29,968853.22,1555940.86,966771.09,1604116.81,499458.83
01-30,869886.38,475272.65,412280.37,621862.36,1481357.8
01-31,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-01,900673.42,1477476.42,992953.84,936329.76,1313140.3
02-02,1304943.09,359866.04,432064.68,326581.34,1556780.72
02-03,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-04,1273848.17,1138791.28,1003553.08,949839.16,1194011.57
02-05,1018840.57,984910.09,989026.55,432827.03,708350.22
02-06,560393.18,983742.38,2022278.32,1808569.77,1203916.29
02-07,802927.67,1244498.69,965967.89,922370.58,1601560.06
02-08,1009426.9,965923.39,996837.53,1020782.4,548895.56
02-09,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-10,1063110.2,836446.42,1242803.86,979768.29,726872.0
02-11,801645.21,514679.01,625695.56,1144180.8,1283990.84
02-12,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-13,1955855.48,1767899.93,449598.06,422832.05,492964.48
02-14,1058709.21,574399.9,1013562.45,959879.88,1198623.25
02-15,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-16,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-17,894255.42,986098.0,1240063.61,699913.62,1097421.63
02-18,698783.1,589080.78,988787.54,1083232.22,1195422.36
02-19,1331104.24,2334273.52,1476734.77,929140.25,1199759.7
02-20,1041816.0,943511.01,985689.83,406380.29,987488.13
02-21,1030715.82,969816.57,852968.2,1927616.97,457839.3
02-22,382499.4,1450724.57,391148.44,965400.37,1782369.27
02-23,1087850.1,981462.16,994901.74,1166076.03,998176.45
02-24,1962893.98,953824.37,653827.25,936029.9,1148804.78
02-25,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-26,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-27,1045133.13,970332.65,991917.27,858211.75,1189528.14
02-28,1999178.37,490995.32,1156627.54,1289763.41,1200376.92
03-01,1344395.54,458475.54,933611.95,1362794.23,758729.95
03-02,580763.74,452904.66,1447320.15,1791807.48,1196730.7
03-03,1035983.21,955919.81,1595438.4,1469837.88,2110235.31
03-04,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-05,1040332.71,1234199.06,981378.49,700109.54,1191927.54
03-06,1038842.48,676914.3,992247.31,967379.61,1268925.73
03-07,1708357.0,1853272.1,427648.08,763011.3,1497808.21
03-08,1012204.06,836353.03,1005155.17,880134.83,1775188.87
03-09,1226560.94,1164926.87,970269.57,881677.78,685956.56
03-10,534437.66,982045.42,1382282.44,494955.64,2062084.38
03-11,545322.74,702595.85,991454.51,708103.13,1515460.57
03-12,674016.27,2649808.89,988748.83,591656.06,424910.07
03-13,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-14,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-15,1044284.18,1091040.69,1098755.52,1252842.67,1197916.97
03-16,1337021.85,982796.05,899291.02,974253.56,1200593.9
03-17,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-18,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-19,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-20,1420457.56,1038269.12,985608.23,1339941.04,595287.48
03-21,737589.62,996214.94,2060665.15,932214.39,889420.8
03-22,524011.62,1281206.59,977515.25,1668197.46,1191075.31
03-23,1045133.13,970332.65,991917.27,858211.75,1189528.14
03-24,1013281.54,383256.6,987979.09,1624181.07,1196723.66
03-25,759403.23,681999.51,1329927.18,1406503.18,1198209.12
03-26,517309.51,1931190.67,1143205.91,736882.46,1190715.15
03-27,2212424.47,353671.97,826391.23,438165.68,2453728.25
03-28,520074.67,1854594.75,996544.96,452119.17,1548548.39
03-29,1030755.38,1304753.89,996075.02,1060862.87,1148026.14
03-30,1925449.97,797679.73,414861.63,940320.62,1193754.49
03-31,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-01,1029171.39,1038764.18,988568.51,1344114.39,1189617.53
04-02,846731.43,1466981.06,431535.19,623966.46,1299175.01
04-03,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-04,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-05,1181644.86,387263.78,2213090.57,695225.56,554732.9
04-06,1246842.53,1840276.35,981675.2,950286.06,1760884.97
04-07,445577.58,620704.21,1571855.16,1474912.56,1191000.61
04-08,541407.79,986344.07,405797.45,933183.53,1193837.85
04-09,438457.6,469454.0,493931.08,551046.18,1658814.37
04-10,449843.56,1350830.27,998682.12,873392.31,815281.15
04-11,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-12,1917168.19,409946.75,987747.6,425365.11,799311.14
04-13,1238013.8,994847.7,1194206.07,836894.93,1185103.05
04-14,1023578.37,967517.29,623383.72,932587.0,1386666.22
04-15,481134.66,481300.93,989826.45,726736.91,1193527.57
04-16,1267269.09,2019779.86,1156562.27,490187.29,2079433.28
04-17,891504.53,432258.81,988176.9,361626.18,636236.69
04-18,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-19,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-20,1591546.53,739848.82,988609.18,1061745.24,1338108.58
04-21,1045690.08,290466.82,506499.09,1769820.78,1081435.78
04-22,808117.97,614719.83,361980.43,667394.23,1190180.39
04-23,1427334.29,1261361.72,999705.88,755276.94,597540.13
04-24,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-25,393515.79,627433.74,979423.41,976789.27,1190903.75
04-26,1028170.9,1003519.0,2614252.29,1108524.59,812073.7
04-27,666089.54,989731.94,883206.66,1048739.71,762550.25
04-28,641933.52,972995.03,982924.66,543719.85,996386.35
04-29,1045133.13,970332.65,991917.27,858211.75,1189528.14
04-30,1526815.25,1669618.54,984227.78,1072062.75,1094699.78
05-01,1010511.53,953318.39,983564.37,925050.35,562254.81
05-02,1034585.66,971751.48,1617873.24,955604.81,1852109.95
05-03,959063.21,1128840.84,1177682.23,936032.01,1766206.41
05-04,1045133.13,970332.65,991917.27,858211.75,1189528.14
05-05,388954.09,577864.08,1752246.38,983322.8,775481.88
05-06,1045133.13,970332.65,991917.27,858211.75,1189528.14
05-07,1030404.02,692221.43,433962.48,538519.94,1201339.54
05-08,622476.18,1255054.71,1354803.55,274116.81,533236.02
05-09,1172403.5,2051403.12,466686.5,1739085.08,1193814.7
05-10,707846.98,992908.24,418732.06,2093337.91,2221718.51
05-11,1481834.62,1561110.41,993171.26,496394.75,1186242.15
05-12,619449.47,994366.35,1467293.47,965447.89,754415.55
05-13,1026978.94,1120903.58,997828.98,911433.3,1194095.95
05-14,1408928.25,1417193.37,992222.65,1029033.25,525643.02
05-15,1285055.43,453037.48,474406.63,945847.51,1980275.81
05-16,1033908.91,321599.63,1365202.54,1899281.11,1555319.39
05-17,1045133.13,970332.65,991917.27,858211.75,1189528.14
05-18,764548.15,1014527.44,1405418.71,948736.76,612049.14
05-19,1453134.7,992754.86,1430721.18,938557.73,1192639.33
05-20,406241.97,1174036.65,984139.55,613103.74,1179255.94
05-21,1108132.04,1450313.59,861221.29,829969.68,706627.96
05-22,1349089.09,573702.37,1534816.57,938244.52,1794662.76
05-23,586387.22,977659.1,986859.47,467959.19,871530.4
05-24,1047067.07,1569794.91,983859.77,1321760.89,705000.84
05-25,1035902.96,458450.52,1189294.41,611007.64,658226.11
05-26,2020516.56,978306.07,1097164.4,966264.25,502921.02
05-27,2081556.43,1320612.81,976091.68,956285.31,1541557.66
05-28,1011209.16,1589206.83,530694.98,1395006.83,1188816.7
05-29,1063664.13,907543.12,991427.5,1620211.64,1198649.0
05-30,1216596.68,964471.48,473952.22,1122060.96,4011060.45
05-31,615947.91,1561295.27,1239629.95,941644.53,917477.34
06-01,1045133.13,970332.65,991917.27,858211.75,1189528.14
06-02,2065379.53,425479.27,477582.15,761389.47,1199255.09
06-03,1869556.49,988611.74,946627.08,724897.26,1193213.96
06-04,1385065.82,412037.71,544284.38,862475.97,914239.63
06-05,1046068.98,464232.2,1179647.55,1441623.98,1370343.11
06-06,711324.83,608765.31,871919.87,699819.52,849973.64
06-07,1214013.01,412596.84,604145.48,1096888.93,1201287.46
06-08,2540481.84,1347523.94,951987.4,957152.88,2208106.03
06-09,1035445.6,881329.86,981975.01,604088.73,1198697.73
06-10,899512.35,421747.57,1139083.03,445392.92,2042030.05
06-11,1396600.65,419234.38,989940.02,463465.39,1111235.87
06-12,320372.05,946067.38,429479.27,1250762.12,384560.22
06-13,868646.85,974591.39,1574858.78,996533.11,1199274.91
06-14,1045133.13,970332.65,991917.27,858211.75,1189528.14
06-15,1172161.88,1474071.19,1599385.82,872181.75,947611.83
06-16,516889.2,984911.58,992204.12,589676.34,537260.57
06-17,1037152.22,551810.31,419288.41,948976.17,695882.51
06-18,547274.84,1995117.06,1919117.39,1225173.52,492659.29
06-19,1863380.91,379426.18,981018.56,904388.48,1189317.36
06-20,610513.56,1044577.08,980786.65,1134359.14,2139144.01
06-21,1034478.13,650511.38,370384.66,1286077.94,697796.0
06-22,1412297.85,958849.74,1090854.31,1024787.06,794700.91
